,Scaled_Energy,Position,Defect
176,0.653585103,0.548539,0
177,0.723997195,0.550694,0
178,0.854380967,0.548787,0
179,0.513868031,0.548381,0
180,0.307003869,0.550408,0
181,0.096686857,0.550741,0
182,0.566732613,0.551197,0
183,0.38459923,0.55072,0
184,0.226467437,0.551392,0
185,0.743143375,0.522887,0
186,0.553593813,0.521543,0
187,0.888169203,0.521584,0
188,0.63372817,0.520367,0
189,0.819900013,0.529113,0
190,0.619102623,0.529603,0
191,0.692368405,0.528818,0
192,0.576714302,0.529806,0
193,0.442266095,0.529445,0
194,0.472362689,0.529244,0
195,0.139354645,0.529688,0
196,0.732699157,0.530244,0
197,0.558392107,0.530655,0
198,0.307023663,0.529673,0
199,0.287519734,0.530457,0
200,0.212726956,0.530034,0
201,0.853477383,0.531335,0
202,0.641775923,0.531179,0
203,0.44429013,0.531371,0
204,0.386289101,0.531894,0
205,0.354086527,0.531542,0
206,0.392608344,0.531776,0
207,0.379726344,0.528362,0
208,0.366033002,0.531247,0
209,0.76623208,0.530818,0
210,0.432888953,0.529603,0
211,0.538414883,0.528943,0
212,0.423568683,0.529489,0
213,0.627711594,0.528313,0
214,0.441403818,0.529033,0
215,0.355235993,0.528634,0
216,0.83209356,0.528057,0
217,0.4925741,0.528127,0
218,0.346980878,0.528994,0
219,0.332875821,0.52873,0
220,0.367286977,0.529023,0
221,0.617305886,0.52963,0
222,0.722612282,0.531225,0
223,0.885874195,0.530788,0
224,0.674600843,0.532066,0
225,0.543712263,0.53077,0
226,0.597851786,0.532448,0
227,0.541752394,0.531875,0
228,0.470741744,0.532353,0
229,0.751253541,0.532832,0
230,0.482153579,0.532978,0
231,0.853696783,0.538733,0
232,0.53187075,0.536465,0
233,0.747354878,0.537527,0
234,0.392448337,0.541151,0
235,0.493096276,0.542698,0
236,0.37724731,0.5433,0
237,0.490898831,0.541965,0
238,0.636911964,0.542054,0
239,0.548019607,0.541751,0
240,0.594463105,0.543549,0
241,0.305857206,0.541765,0
242,0.421685569,0.544069,0
243,0.66209692,0.542932,0
244,0.305615975,0.541845,0
245,0.465022132,0.543666,0
246,0.829392062,0.543221,0
247,0.518764388,0.543248,0
248,0.375047226,0.542822,0
249,0.310550276,0.54343,0
250,0.549289867,0.543753,0
251,0.496528057,0.542035,0
252,0.558651973,0.542363,0
253,0.591218708,0.543163,0
254,0.576108046,0.543708,0
255,0.82657192,0.542428,0
256,0.613569271,0.543369,0
257,0.96405154,0.545809,0
258,0.941603942,0.539715,0
259,0.490260824,0.539096,0
260,0.279387659,0.538585,0
261,0.391683457,0.538733,0
262,0.440723818,0.538069,0
263,0.566747418,0.537343,0
264,0.714686956,0.538927,0
265,1.046026419,0.53931,0
266,0.66260848,0.539601,0
267,0.463337999,0.540119,0
268,0.185107652,0.537457,0
269,0.38612815,0.537673,0
270,0.645717045,0.538893,0
271,0.691405094,0.537649,0
272,0.603170039,0.538998,0
273,0.507856103,0.538902,0
274,0.110202617,0.540214,0
275,0.520907267,0.539921,0
276,0.334741595,0.539595,0
277,0.410644335,0.561544,0
278,0.504783061,0.56218,0
279,0.54602879,0.562119,0
280,0.407211135,0.561955,0
281,0.34313573,0.561632,0
282,0.65352089,0.561483,0
283,0.666118012,0.562638,0
284,0.5234007,0.561752,0
285,0.499935727,0.56237,0
286,0.491936545,0.561209,0
287,0.716669713,0.560551,0
288,0.845855943,0.560829,0
289,0.501554881,0.56236,0
290,0.607649045,0.561731,0
291,0.719842897,0.561293,0
292,0.735091807,0.562581,0
293,0.773192077,0.561473,0
294,0.407662652,0.562959,0
295,0.923498094,0.562614,0
296,0.52130141,0.561911,0
297,0.897260837,0.562585,0
298,0.424464718,0.562673,0
299,0.607742124,0.562822,0
300,0.773710505,0.56342,0
301,0.489154876,0.562927,0
302,0.516449494,0.563383,0
303,0.40881197,0.562502,0
304,0.423017693,0.562511,0
305,0.393790445,0.562,0
306,0.719562803,0.561448,0
307,0.140654967,0.562183,0
308,0.599913907,0.562244,0
309,0.835271044,0.562452,0
310,0.941207207,0.563176,0
311,0.819727352,0.562608,0
312,0.652600724,0.561685,0
313,0.332785233,0.563422,0
314,0.397730665,0.56275,0
315,0.538969826,0.562909,0
316,0.660569691,0.562138,0
317,0.545424889,0.563266,0
318,0.295437803,0.562516,0
319,0.851366077,0.562353,0
320,0.718470682,0.561963,0
321,0.555920109,0.562567,0
322,0.772512713,0.562997,0
323,0.120638915,0.521626,0
324,0.649259199,0.519136,0
325,0.466999124,0.521769,0
